timestamp,epoch,cpu_system_pct,cpu_clients_pct,mem_system_mb,mem_clients_mb,throughput_lines_per_sec,user_count,phase
2026-04-17 01:33:06,1776367986,28.57,0.00,11239.54,575.21,960,320,active
2026-04-17 01:33:11,1776367991,39.40,0.00,11328.64,575.22,2880,320,active
2026-04-17 01:33:16,1776367996,34.75,0.00,11261.98,575.22,3840,320,active
2026-04-17 01:33:21,1776368001,32.77,0.00,11281.20,575.23,5760,320,active
2026-04-17 01:33:26,1776368006,28.54,0.00,11286.61,575.23,6720,320,active
2026-04-17 01:33:31,1776368011,31.98,0.00,11280.91,575.23,8640,320,active
2026-04-17 01:33:36,1776368016,33.31,0.00,11293.20,575.24,9600,320,active
2026-04-17 01:33:41,1776368021,29.76,0.00,11315.11,575.25,11649,320,active
2026-04-17 01:33:46,1776368026,31.48,0.00,11334.68,575.26,14427,320,active
2026-04-17 01:33:51,1776368031,34.16,0.00,11366.24,576.45,17540,320,active
2026-04-17 01:33:56,1776368036,29.80,0.00,11393.31,576.45,19460,320,active
2026-04-17 01:34:01,1776368041,29.57,0.00,11401.32,576.45,20855,320,active
2026-04-17 01:34:06,1776368046,29.19,0.00,11401.25,576.45,22081,320,active
2026-04-17 01:34:11,1776368051,27.67,0.00,11408.93,576.45,23693,320,active
2026-04-17 01:34:16,1776368056,30.29,0.00,11408.79,576.45,25744,320,active
2026-04-17 01:34:21,1776368061,29.39,0.00,11429.99,576.45,30977,320,active
2026-04-17 01:34:26,1776368066,31.26,0.00,11460.80,576.45,33512,320,active
2026-04-17 01:34:31,1776368071,28.25,0.00,11469.37,576.45,34603,320,active
2026-04-17 01:34:36,1776368076,28.36,0.00,11482.09,576.45,35694,320,active
2026-04-17 01:34:41,1776368081,30.47,0.00,11492.46,576.45,37876,320,active
