timestamp,epoch,cpu_system_pct,cpu_clients_pct,mem_system_mb,mem_clients_mb,throughput_lines_per_sec,user_count,phase
2026-04-17 01:35:35,1776368135,50.00,0.00,11556.02,934.55,3372,520,active
2026-04-17 01:35:40,1776368140,34.85,0.00,11593.29,934.56,8183,520,active
2026-04-17 01:35:45,1776368145,35.75,0.00,11597.91,934.59,17870,520,active
2026-04-17 01:35:50,1776368150,38.67,0.00,11582.27,936.51,24962,520,active
2026-04-17 01:35:55,1776368155,37.10,0.00,11568.52,936.51,31464,520,active
2026-04-17 01:36:00,1776368160,37.78,0.00,11567.11,936.51,36668,520,active
2026-04-17 01:36:06,1776368166,38.28,0.00,11647.15,936.51,43563,520,active
2026-04-17 01:36:11,1776368171,35.63,0.00,11683.90,936.51,46945,520,active
2026-04-17 01:36:16,1776368176,35.31,0.00,11692.95,936.51,51806,520,active
2026-04-17 01:36:21,1776368181,36.38,0.00,11720.05,936.52,53578,520,active
2026-04-17 01:36:26,1776368186,34.73,0.00,11691.45,936.52,121019,520,active
2026-04-17 01:36:31,1776368191,34.41,0.00,11770.13,936.52,122579,520,active
2026-04-17 01:36:36,1776368196,34.44,0.00,11813.74,936.52,124139,520,active
2026-04-17 01:36:41,1776368201,38.92,0.00,11805.57,936.52,127259,520,active
2026-04-17 01:36:46,1776368206,34.99,0.00,11815.48,936.53,128819,520,active
2026-04-17 01:36:51,1776368211,32.77,0.00,11782.25,936.53,130472,520,active
2026-04-17 01:36:56,1776368216,33.75,0.00,11823.53,936.54,133451,520,active
2026-04-17 01:37:02,1776368222,35.48,0.00,11856.12,936.54,135446,520,active
2026-04-17 01:37:07,1776368227,34.06,0.00,11864.35,936.54,138464,520,active
2026-04-17 01:37:12,1776368232,34.07,0.00,11897.48,936.55,140126,520,active
