timestamp,epoch,cpu_system_pct,cpu_clients_pct,mem_system_mb,mem_clients_mb,throughput_lines_per_sec,user_count,phase
2026-04-18 00:08:22,1776449302,14.29,0.00,7161.62,180.84,390,100,active
2026-04-18 00:08:25,1776449305,10.80,0.00,7355.22,180.84,8485,100,active
2026-04-18 00:08:28,1776449308,14.88,0.00,7454.31,180.84,13857,100,active
2026-04-18 00:08:31,1776449311,12.30,0.00,7426.92,180.84,17718,100,active
2026-04-18 00:08:34,1776449314,13.61,0.33,7406.22,180.84,24723,100,active
2026-04-18 00:08:37,1776449317,15.82,1.32,7426.31,180.84,33543,100,active
2026-04-18 00:08:40,1776449320,14.33,1.32,7393.27,180.84,49305,100,active
2026-04-18 00:08:43,1776449323,14.51,1.32,7405.16,180.84,54560,100,active
2026-04-18 00:08:46,1776449326,14.67,1.32,7429.84,180.84,62704,100,active
2026-04-18 00:08:49,1776449329,15.22,1.98,7426.95,180.84,68717,100,active
2026-04-18 00:08:52,1776449332,11.32,2.64,7442.20,180.85,77775,100,active
2026-04-18 00:08:55,1776449335,10.79,2.64,7465.00,180.86,82000,100,active
2026-04-18 00:08:58,1776449338,16.46,2.64,7484.09,180.86,88209,100,active
2026-04-18 00:09:01,1776449341,12.80,3.30,7485.81,180.86,95527,100,active
2026-04-18 00:09:04,1776449344,14.51,3.30,7494.09,180.86,101323,100,active
2026-04-18 00:09:07,1776449347,11.05,5.94,7534.12,180.86,118061,100,active
2026-04-18 00:09:10,1776449350,10.74,6.60,7554.75,180.86,123262,100,active
2026-04-18 00:09:13,1776449353,10.26,9.57,7551.34,180.87,131074,100,active
2026-04-18 00:09:16,1776449356,11.80,11.55,7607.82,180.88,136612,100,active
2026-04-18 00:09:19,1776449359,13.41,14.85,7613.72,180.88,141789,100,active
2026-04-18 00:09:22,1776449362,9.95,17.49,7614.01,180.88,148259,100,active
2026-04-18 00:09:25,1776449365,16.87,19.47,7801.54,180.88,152400,100,active
2026-04-18 00:09:28,1776449368,15.73,21.78,7938.61,180.88,159075,100,active
2026-04-18 00:09:31,1776449371,14.25,23.76,7938.73,180.88,164751,100,active
2026-04-18 00:09:34,1776449374,9.02,25.08,7877.27,180.88,182005,100,active
2026-04-18 00:09:37,1776449377,11.99,27.39,7844.36,180.89,187287,100,active
2026-04-18 00:09:40,1776449380,15.64,29.04,8072.32,180.89,195405,100,active
2026-04-18 00:09:43,1776449383,17.64,30.36,8168.45,180.90,199643,100,active
2026-04-18 00:09:46,1776449386,18.53,32.01,8193.52,181.23,205834,100,active
2026-04-18 00:09:49,1776449389,22.66,33.01,8336.34,181.23,211193,100,active
2026-04-18 00:09:52,1776449392,14.86,33.35,8406.01,181.23,217722,100,active
2026-04-18 00:09:55,1776449395,20.03,33.69,8400.32,181.23,224022,100,active
2026-04-18 00:09:58,1776449398,11.09,34.03,8369.88,181.23,228311,100,active
2026-04-18 00:10:01,1776449401,11.48,34.37,8351.06,181.23,234060,100,active
2026-04-18 00:10:04,1776449404,10.79,34.71,8341.84,181.23,251278,100,active
2026-04-18 00:10:07,1776449407,20.66,35.72,8542.33,181.23,259166,100,active
2026-04-18 00:10:10,1776449410,11.37,37.08,8543.37,181.23,264495,100,active
2026-04-18 00:10:13,1776449413,8.22,37.76,8474.27,181.23,269595,100,active
2026-04-18 00:10:16,1776449416,10.40,39.12,8461.09,181.23,278782,100,active
2026-04-18 00:10:19,1776449419,11.78,40.48,8126.40,181.23,284012,100,active
2026-04-18 00:10:22,1776449422,9.91,41.83,8129.14,181.23,287912,100,active
2026-04-18 00:10:25,1776449425,23.18,42.85,8368.15,181.24,294341,100,active
2026-04-18 00:10:28,1776449428,14.50,44.21,8377.18,181.24,300087,100,active
2026-04-18 00:10:31,1776449431,12.03,47.61,8395.69,181.24,310658,100,active
